Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
20,ORD-10019,2022-11-05,2022-11-07,First Class,CUST-2841,Customer_116,Consumer,India,Bangalore,Maharashtra,683069,West,PROD-705,Office Supplies,Storage,Drawer Organizer,2309.66,4,0.03,277.16
21,ORD-10020,2022-12-10,2022-12-12,Same Day,CUST-7997,Customer_497,Home Office,India,Hyderabad,Telangana,663356,South,PROD-433,Furniture,Chairs,Ergo Chair,201.6,6,0.01,28.22
22,ORD-10021,2023-05-07,2023-05-10,Second Class,CUST-2557,Customer_174,Home Office,India,Bangalore,Delhi,614753,North,PROD-321,Office Supplies,Storage,Drawer Organizer,3320.97,2,0.05,332.1
23,ORD-10022,2023-02-18,2023-02-24,Standard Class,CUST-9616,Customer_12,Home Office,India,Kochi,Kerala,677766,North,PROD-469,Office Supplies,Paper,A4 Paper Pack,2909.32,3,0.06,261.84
24,ORD-10023,2023-01-21,2023-01-23,First Class,CUST-9887,Customer_238,Home Office,India,Kochi,Karnataka,635400,North,PROD-836,Office Supplies,Paper,Notebook Pack,479.19,9,0.3,-71.88
25,ORD-10024,2022-07-11,2022-07-15,Same Day,CUST-4372,Customer_143,Home Office,India,Delhi,Kerala,614137,North,PROD-475,Technology,Machines,Scanner,1627.3,8,0.13,32.55
26,ORD-10025,2022-10-04,2022-10-05,First Class,CUST-9692,Customer_356,Consumer,India,Kochi,Delhi,604914,West,PROD-604,Technology,Accessories,USB Hub,882.8,9,0.04,97.11
27,ORD-10026,2022-06-10,2022-06-14,Second Class,CUST-5405,Customer_492,Home Office,India,Chennai,Kerala,606846,North,PROD-958,Furniture,Bookcases,Metal Bookcase,1053.28,3,0.21,-63.2
28,ORD-10027,2023-04-05,2023-04-07,First Class,CUST-3047,Customer_248,Corporate,India,Mumbai,Telangana,656249,North,PROD-702,Furniture,Tables,Conference Table,2645.23,1,0.3,-396.78
29,ORD-10028,2022-11-10,2022-11-15,Second Class,CUST-9537,Customer_354,Corporate,India,Delhi,Telangana,681228,West,PROD-475,Furniture,Chairs,Office Chair,1316.7,1,0.07,105.34
30,ORD-10029,2022-01-22,2022-01-23,Standard Class,CUST-7105,Customer_246,Consumer,India,Bangalore,Karnataka,634222,West,PROD-238,Technology,Phones,Desk Phone,3347.47,4,0.25,-334.75
31,ORD-10030,2022-09-10,2022-09-11,Same Day,CUST-8531,Customer_174,Corporate,India,Delhi,Tamil Nadu,632553,South,PROD-299,Technology,Accessories,Keyboard,827.41,2,0.27,-99.29
32,ORD-10031,2023-07-15,2023-07-18,Standard Class,CUST-7407,Customer_27,Consumer,India,Chennai,Delhi,624539,North,PROD-633,Furniture,Tables,Conference Table,1965.24,3,0.12,58.96
33,ORD-10032,2023-04-20,2023-04-23,Standard Class,CUST-9264,Customer_83,Corporate,India,Delhi,Delhi,626232,North,PROD-940,Technology,Machines,Scanner,3721.35,7,0.23,-297.71
34,ORD-10033,2022-02-28,2022-03-05,First Class,CUST-6792,Customer_44,Home Office,India,Delhi,Kerala,686896,North,PROD-668,Furniture,Tables,Study Table,2197.54,7,0.14,21.98
35,ORD-10034,2023-05-26,2023-06-01,Same Day,CUST-1125,Customer_268,Home Office,India,Bangalore,Maharashtra,695603,North,PROD-100,Technology,Machines,Scanner,3993.62,6,0.17,-79.87
36,ORD-10035,2023-11-13,2023-11-14,Second Class,CUST-4414,Customer_487,Consumer,India,Bangalore,Karnataka,615706,South,PROD-455,Office Supplies,Binders,File Binder,858.13,7,0.16,-8.58
37,ORD-10036,2023-04-21,2023-04-26,Standard Class,CUST-8126,Customer_224,Home Office,India,Chennai,Tamil Nadu,672523,North,PROD-322,Office Supplies,Storage,Plastic Storage Box,1752.8,1,0.25,-175.28
38,ORD-10037,2023-12-01,2023-12-04,Second Class,CUST-4515,Customer_208,Home Office,India,Mumbai,Delhi,605267,South,PROD-987,Technology,Machines,Printer,1154.51,5,0.02,150.09
39,ORD-10038,2022-07-09,2022-07-12,Second Class,CUST-1058,Customer_435,Corporate,India,Delhi,Delhi,636367,South,PROD-728,Technology,Phones,Desk Phone,1982.76,4,0.08,138.79
40,ORD-10039,2023-11-18,2023-11-19,Same Day,CUST-4620,Customer_35,Home Office,India,Chennai,Tamil Nadu,602394,South,PROD-919,Furniture,Chairs,Executive Chair,4252.91,5,0.03,510.35
41,ORD-10040,2023-07-17,2023-07-21,Same Day,CUST-2249,Customer_110,Consumer,India,Mumbai,Delhi,600244,West,PROD-282,Office Supplies,Storage,Drawer Organizer,4350.37,4,0.07,348.03
42,ORD-10041,2023-07-21,2023-07-23,First Class,CUST-1078,Customer_11,Corporate,India,Kochi,Maharashtra,697131,West,PROD-218,Technology,Phones,Desk Phone,2484.89,2,0.11,99.4
43,ORD-10042,2022-09-01,2022-09-04,Standard Class,CUST-4833,Customer_254,Consumer,India,Kochi,Maharashtra,698060,West,PROD-293,Office Supplies,Binders,File Binder,4325.91,4,0.12,129.78
44,ORD-10043,2023-05-20,2023-05-26,Second Class,CUST-2585,Customer_319,Home Office,India,Mumbai,Telangana,619371,West,PROD-100,Office Supplies,Paper,Notebook Pack,4785.61,1,0.24,-430.7
45,ORD-10044,2022-05-11,2022-05-17,First Class,CUST-2982,Customer_273,Corporate,India,Delhi,Karnataka,690258,South,PROD-343,Furniture,Chairs,Office Chair,4725.59,9,0.24,-425.3
46,ORD-10045,2023-04-30,2023-05-03,Second Class,CUST-2744,Customer_115,Corporate,India,Delhi,Karnataka,618447,West,PROD-682,Furniture,Tables,Study Table,4236.18,1,0.01,593.07
47,ORD-10046,2023-10-09,2023-10-13,Same Day,CUST-8861,Customer_175,Consumer,India,Kochi,Maharashtra,697690,West,PROD-719,Furniture,Chairs,Ergo Chair,2415.09,8,0.19,-96.6
48,ORD-10047,2022-01-21,2022-01-25,Standard Class,CUST-8563,Customer_208,Consumer,India,Chennai,Kerala,658445,South,PROD-235,Office Supplies,Paper,A4 Paper Pack,2054.47,2,0.14,20.54
49,ORD-10048,2022-06-16,2022-06-21,Same Day,CUST-3681,Customer_200,Consumer,India,Mumbai,Maharashtra,624296,West,PROD-630,Furniture,Tables,Conference Table,3146.88,1,0.02,409.09
50,ORD-10049,2022-10-01,2022-10-07,Second Class,CUST-6540,Customer_79,Home Office,India,Mumbai,Maharashtra,642710,West,PROD-357,Office Supplies,Binders,Ring Binder,4435.81,8,0.03,532.3
51,ORD-10050,2023-01-23,2023-01-28,First Class,CUST-4917,Customer_297,Corporate,India,Mumbai,Kerala,658719,West,PROD-828,Technology,Phones,Smartphone,2327.71,1,0.01,325.88
52,ORD-10051,2023-08-24,2023-08-30,Same Day,CUST-5028,Customer_488,Home Office,India,Kochi,Kerala,601434,North,PROD-978,Office Supplies,Binders,File Binder,607.0,8,0.21,-36.42
53,ORD-10052,2022-11-12,2022-11-14,Second Class,CUST-8710,Customer_192,Corporate,India,Delhi,Tamil Nadu,693263,West,PROD-661,Office Supplies,Binders,Ring Binder,542.03,3,0.0,81.3
54,ORD-10053,2022-01-14,2022-01-16,Second Class,CUST-5017,Customer_178,Consumer,India,Bangalore,Tamil Nadu,669720,North,PROD-575,Technology,Machines,Printer,2641.18,5,0.12,79.24
55,ORD-10054,2022-08-30,2022-08-31,Standard Class,CUST-6215,Customer_152,Corporate,India,Hyderabad,Maharashtra,611622,South,PROD-721,Furniture,Tables,Conference Table,1878.58,4,0.23,-150.29
56,ORD-10055,2022-12-12,2022-12-17,First Class,CUST-9050,Customer_393,Corporate,India,Mumbai,Telangana,680357,West,PROD-689,Technology,Phones,Desk Phone,3962.44,7,0.11,158.5
57,ORD-10056,2023-07-19,2023-07-22,First Class,CUST-7326,Customer_488,Corporate,India,Delhi,Telangana,627283,West,PROD-529,Furniture,Tables,Study Table,2838.16,5,0.25,-283.82
58,ORD-10057,2022-12-06,2022-12-11,First Class,CUST-3341,Customer_275,Consumer,India,Hyderabad,Kerala,629805,West,PROD-920,Technology,Accessories,USB Hub,1472.22,8,0.01,206.11
59,ORD-10058,2022-04-02,2022-04-05,Same Day,CUST-1357,Customer_410,Corporate,India,Kochi,Maharashtra,676690,West,PROD-954,Technology,Phones,Desk Phone,1618.13,1,0.23,-129.45
60,ORD-10059,2023-01-02,2023-01-06,Standard Class,CUST-3460,Customer_373,Corporate,India,Bangalore,Tamil Nadu,638369,West,PROD-275,Furniture,Tables,Conference Table,4884.76,9,0.2,-244.24
61,ORD-10060,2023-03-31,2023-04-05,Standard Class,CUST-9024,Customer_141,Corporate,India,Chennai,Delhi,615562,West,PROD-433,Office Supplies,Binders,File Binder,782.65,3,0.18,-23.48
62,ORD-10061,2023-03-04,2023-03-08,Same Day,CUST-2581,Customer_296,Home Office,India,Hyderabad,Telangana,628968,West,PROD-462,Furniture,Chairs,Executive Chair,3290.74,9,0.16,-32.91
63,ORD-10062,2023-05-24,2023-05-26,Standard Class,CUST-5379,Customer_472,Consumer,India,Chennai,Delhi,656849,North,PROD-490,Technology,Accessories,Keyboard,1746.63,2,0.04,192.13
64,ORD-10063,2022-02-04,2022-02-06,Standard Class,CUST-7877,Customer_279,Consumer,India,Chennai,Delhi,682907,South,PROD-263,Furniture,Bookcases,Metal Bookcase,746.99,8,0.15,0.0
65,ORD-10064,2022-07-25,2022-07-26,Second Class,CUST-7893,Customer_192,Consumer,India,Hyderabad,Maharashtra,602240,West,PROD-165,Office Supplies,Binders,File Binder,814.86,2,0.1,40.74
66,ORD-10065,2022-03-22,2022-03-27,First Class,CUST-6205,Customer_189,Consumer,India,Hyderabad,Karnataka,624334,South,PROD-725,Technology,Machines,Scanner,3072.95,8,0.03,368.75
67,ORD-10066,2023-07-16,2023-07-20,Second Class,CUST-6202,Customer_258,Consumer,India,Kochi,Maharashtra,651296,South,PROD-810,Technology,Machines,Scanner,2273.97,8,0.13,45.48
68,ORD-10067,2023-01-23,2023-01-26,Second Class,CUST-8696,Customer_14,Consumer,India,Hyderabad,Telangana,671909,North,PROD-528,Technology,Accessories,Keyboard,985.68,9,0.08,69.0
69,ORD-10068,2022-01-02,2022-01-04,First Class,CUST-5155,Customer_34,Corporate,India,Delhi,Maharashtra,634596,South,PROD-832,Office Supplies,Paper,A4 Paper Pack,783.21,4,0.06,70.49
70,ORD-10069,2023-01-25,2023-01-27,Same Day,CUST-3605,Customer_159,Home Office,India,Delhi,Maharashtra,626099,North,PROD-518,Technology,Accessories,USB Hub,3299.89,1,0.09,197.99
71,ORD-10070,2023-07-20,2023-07-23,Standard Class,CUST-2853,Customer_389,Consumer,India,Chennai,Kerala,615433,North,PROD-914,Furniture,Tables,Study Table,4420.49,7,0.08,309.43
72,ORD-10071,2022-04-16,2022-04-20,First Class,CUST-9796,Customer_185,Home Office,India,Bangalore,Telangana,625822,West,PROD-242,Technology,Phones,Desk Phone,3253.14,2,0.07,260.25
73,ORD-10072,2023-04-22,2023-04-26,Standard Class,CUST-5003,Customer_447,Consumer,India,Mumbai,Delhi,641746,South,PROD-158,Office Supplies,Paper,A4 Paper Pack,3791.32,8,0.17,-75.83
74,ORD-10073,2023-12-04,2023-12-09,Standard Class,CUST-2356,Customer_228,Home Office,India,Bangalore,Maharashtra,615484,North,PROD-273,Furniture,Bookcases,Wood Bookcase,3349.58,7,0.05,334.96
75,ORD-10074,2023-02-06,2023-02-11,First Class,CUST-1504,Customer_439,Consumer,India,Hyderabad,Maharashtra,617586,South,PROD-656,Technology,Machines,Printer,3815.3,6,0.08,267.07
76,ORD-10075,2023-12-31,2024-01-06,Standard Class,CUST-4371,Customer_84,Corporate,India,Mumbai,Telangana,640855,South,PROD-566,Furniture,Tables,Study Table,718.13,2,0.21,-43.09
77,ORD-10076,2023-07-10,2023-07-16,First Class,CUST-8396,Customer_69,Consumer,India,Kochi,Delhi,614777,North,PROD-348,Office Supplies,Binders,File Binder,4125.37,4,0.06,371.28
78,ORD-10077,2022-06-11,2022-06-12,First Class,CUST-6522,Customer_494,Corporate,India,Chennai,Maharashtra,695279,North,PROD-846,Technology,Phones,Smartphone,923.25,3,0.1,46.16
79,ORD-10078,2022-07-21,2022-07-23,Second Class,CUST-9889,Customer_220,Home Office,India,Hyderabad,Telangana,681682,North,PROD-925,Furniture,Tables,Conference Table,2802.74,6,0.18,-84.08
80,ORD-10079,2022-09-27,2022-10-02,Second Class,CUST-6322,Customer_110,Consumer,India,Hyderabad,Telangana,661589,South,PROD-315,Office Supplies,Binders,File Binder,3137.31,8,0.03,376.48
81,ORD-10080,2022-09-28,2022-10-02,Same Day,CUST-5350,Customer_484,Consumer,India,Mumbai,Telangana,604144,South,PROD-141,Office Supplies,Storage,Drawer Organizer,3506.65,7,0.26,-385.73
82,ORD-10081,2023-04-01,2023-04-04,Second Class,CUST-8389,Customer_406,Consumer,India,Bangalore,Karnataka,603090,West,PROD-240,Technology,Accessories,Mouse,3853.38,9,0.05,385.34
83,ORD-10082,2023-04-07,2023-04-11,Second Class,CUST-2725,Customer_424,Consumer,India,Mumbai,Kerala,627824,North,PROD-158,Furniture,Bookcases,Metal Bookcase,1384.06,8,0.22,-96.88
84,ORD-10083,2023-12-28,2023-12-30,First Class,CUST-9810,Customer_40,Corporate,India,Delhi,Karnataka,600990,West,PROD-157,Office Supplies,Storage,Plastic Storage Box,1533.93,1,0.06,138.05
85,ORD-10084,2022-09-09,2022-09-15,Second Class,CUST-2108,Customer_30,Corporate,India,Mumbai,Maharashtra,617499,South,PROD-421,Office Supplies,Paper,A4 Paper Pack,1179.37,2,0.17,-23.59
86,ORD-10085,2023-12-03,2023-12-07,Second Class,CUST-3673,Customer_204,Consumer,India,Bangalore,Tamil Nadu,637666,West,PROD-973,Furniture,Chairs,Office Chair,3151.9,7,0.21,-189.11
87,ORD-10086,2022-10-23,2022-10-24,Same Day,CUST-9281,Customer_48,Consumer,India,Delhi,Delhi,654209,South,PROD-395,Office Supplies,Paper,Notebook Pack,2860.29,9,0.0,429.04
88,ORD-10087,2023-12-26,2023-12-28,Second Class,CUST-2735,Customer_158,Consumer,India,Mumbai,Kerala,611702,West,PROD-939,Office Supplies,Binders,Ring Binder,4196.87,6,0.0,629.53
89,ORD-10088,2023-12-21,2023-12-27,Same Day,CUST-8761,Customer_485,Corporate,India,Kochi,Tamil Nadu,634754,South,PROD-839,Office Supplies,Storage,Plastic Storage Box,4798.75,9,0.11,191.95
90,ORD-10089,2022-12-04,2022-12-07,Second Class,CUST-3118,Customer_290,Corporate,India,Delhi,Delhi,631134,North,PROD-218,Furniture,Bookcases,Wood Bookcase,4241.46,3,0.14,42.41
91,ORD-10090,2022-02-22,2022-02-28,Same Day,CUST-8989,Customer_342,Corporate,India,Mumbai,Karnataka,602837,South,PROD-922,Furniture,Bookcases,Metal Bookcase,4982.4,3,0.11,199.3
92,ORD-10091,2022-08-05,2022-08-06,Standard Class,CUST-8927,Customer_299,Home Office,India,Hyderabad,Maharashtra,697675,North,PROD-891,Office Supplies,Binders,File Binder,3665.94,4,0.27,-439.91
93,ORD-10092,2022-07-07,2022-07-09,Same Day,CUST-7731,Customer_93,Corporate,India,Mumbai,Telangana,641947,North,PROD-272,Furniture,Tables,Conference Table,861.55,3,0.2,-43.08
94,ORD-10093,2023-01-15,2023-01-18,Same Day,CUST-4095,Customer_111,Consumer,India,Hyderabad,Delhi,673215,West,PROD-195,Technology,Phones,Smartphone,3538.97,6,0.0,530.85
95,ORD-10094,2023-05-08,2023-05-09,Standard Class,CUST-1524,Customer_111,Consumer,India,Delhi,Delhi,654875,North,PROD-332,Office Supplies,Paper,A4 Paper Pack,1001.05,6,0.05,100.1
96,ORD-10095,2022-02-10,2022-02-16,First Class,CUST-6153,Customer_1,Corporate,India,Hyderabad,Maharashtra,643238,North,PROD-950,Office Supplies,Binders,File Binder,2131.17,4,0.26,-234.43
97,ORD-10096,2022-06-06,2022-06-07,Standard Class,CUST-3462,Customer_28,Consumer,India,Bangalore,Telangana,640090,South,PROD-864,Office Supplies,Paper,Notebook Pack,511.3,3,0.17,-10.23
98,ORD-10097,2022-01-15,2022-01-17,Same Day,CUST-5438,Customer_357,Consumer,India,Hyderabad,Tamil Nadu,672828,North,PROD-558,Technology,Machines,Printer,3574.13,7,0.02,464.64
99,ORD-10098,2022-03-06,2022-03-11,First Class,CUST-8445,Customer_251,Home Office,India,Bangalore,Maharashtra,667119,West,PROD-975,Furniture,Tables,Study Table,3447.05,8,0.24,-310.23
100,ORD-10099,2023-06-05,2023-06-06,Second Class,CUST-4554,Customer_430,Consumer,India,Delhi,Delhi,677335,North,PROD-435,Office Supplies,Binders,File Binder,2591.63,3,0.02,336.91
101,ORD-10100,2022-12-10,2022-12-11,Second Class,CUST-2521,Customer_497,Corporate,India,Bangalore,Telangana,688263,South,PROD-525,Office Supplies,Binders,File Binder,3538.0,6,0.22,-247.66
102,ORD-10101,2022-05-09,2022-05-15,Second Class,CUST-1445,Customer_5,Consumer,India,Chennai,Delhi,618541,South,PROD-267,Technology,Phones,Desk Phone,1207.24,6,0.25,-120.72
103,ORD-10102,2023-10-10,2023-10-16,Same Day,CUST-5854,Customer_378,Home Office,India,Kochi,Maharashtra,613663,West,PROD-866,Furniture,Tables,Conference Table,2312.96,3,0.04,254.43
104,ORD-10103,2023-04-17,2023-04-20,Standard Class,CUST-5739,Customer_23,Corporate,India,Mumbai,Kerala,679147,North,PROD-829,Office Supplies,Binders,File Binder,3730.43,7,0.07,298.43
105,ORD-10104,2022-03-04,2022-03-10,Same Day,CUST-4046,Customer_434,Consumer,India,Delhi,Delhi,664462,South,PROD-945,Technology,Accessories,Mouse,500.2,4,0.24,-45.02
106,ORD-10105,2022-05-19,2022-05-23,Standard Class,CUST-3408,Customer_138,Consumer,India,Kochi,Delhi,608571,South,PROD-860,Technology,Machines,Scanner,4678.94,9,0.19,-187.16
107,ORD-10106,2023-05-14,2023-05-16,Second Class,CUST-5315,Customer_483,Home Office,India,Delhi,Kerala,632657,West,PROD-622,Technology,Machines,Scanner,3260.26,1,0.15,0.0
108,ORD-10107,2023-08-16,2023-08-18,Second Class,CUST-3304,Customer_230,Consumer,India,Bangalore,Telangana,618497,South,PROD-281,Technology,Accessories,Keyboard,4957.41,6,0.22,-347.02
109,ORD-10108,2023-01-27,2023-02-01,Same Day,CUST-2820,Customer_365,Home Office,India,Hyderabad,Karnataka,605995,North,PROD-322,Office Supplies,Storage,Plastic Storage Box,2944.99,7,0.18,-88.35
110,ORD-10109,2023-11-06,2023-11-11,Second Class,CUST-2461,Customer_327,Consumer,India,Kochi,Maharashtra,663685,South,PROD-751,Furniture,Tables,Study Table,2914.64,9,0.29,-408.05
111,ORD-10110,2023-02-23,2023-02-25,Second Class,CUST-1118,Customer_82,Corporate,India,Bangalore,Maharashtra,624203,South,PROD-666,Office Supplies,Binders,File Binder,325.74,3,0.01,45.6
112,ORD-10111,2022-10-16,2022-10-21,Same Day,CUST-3893,Customer_376,Consumer,India,Chennai,Telangana,670720,North,PROD-400,Technology,Phones,Smartphone,1510.74,6,0.16,-15.11
113,ORD-10112,2023-01-14,2023-01-17,Second Class,CUST-3878,Customer_221,Home Office,India,Kochi,Maharashtra,659230,North,PROD-774,Office Supplies,Paper,A4 Paper Pack,4715.26,3,0.08,330.07
114,ORD-10113,2023-05-05,2023-05-11,Standard Class,CUST-1414,Customer_8,Home Office,India,Mumbai,Maharashtra,653687,West,PROD-802,Furniture,Bookcases,Metal Bookcase,2009.19,3,0.14,20.09
115,ORD-10114,2022-08-19,2022-08-21,Standard Class,CUST-8548,Customer_261,Consumer,India,Kochi,Karnataka,625311,South,PROD-339,Office Supplies,Storage,Plastic Storage Box,4052.69,4,0.14,40.53
116,ORD-10115,2022-02-10,2022-02-15,First Class,CUST-8988,Customer_284,Consumer,India,Chennai,Telangana,678705,South,PROD-939,Technology,Phones,Smartphone,3588.89,5,0.19,-143.56
117,ORD-10116,2022-01-28,2022-01-30,Same Day,CUST-7243,Customer_387,Corporate,India,Delhi,Telangana,653343,West,PROD-690,Office Supplies,Storage,Plastic Storage Box,4538.78,7,0.27,-544.65
118,ORD-10117,2022-05-15,2022-05-19,Standard Class,CUST-5194,Customer_213,Consumer,India,Chennai,Delhi,646044,South,PROD-511,Technology,Machines,Scanner,3701.64,8,0.23,-296.13
119,ORD-10118,2022-07-20,2022-07-21,Same Day,CUST-1279,Customer_277,Corporate,India,Delhi,Delhi,654781,North,PROD-728,Office Supplies,Storage,Plastic Storage Box,1281.07,6,0.04,140.92
120,ORD-10119,2022-02-02,2022-02-08,Second Class,CUST-4372,Customer_331,Corporate,India,Kochi,Tamil Nadu,673278,North,PROD-997,Technology,Machines,Scanner,3806.6,9,0.2,-190.33
121,ORD-10120,2022-02-17,2022-02-19,First Class,CUST-2693,Customer_158,Consumer,India,Delhi,Kerala,679905,West,PROD-957,Technology,Phones,Desk Phone,264.33,4,0.08,18.5
122,ORD-10121,2023-05-18,2023-05-19,Same Day,CUST-1223,Customer_125,Consumer,India,Chennai,Tamil Nadu,695355,South,PROD-615,Technology,Phones,Smartphone,1456.19,6,0.07,116.5
123,ORD-10122,2023-02-11,2023-02-16,First Class,CUST-6502,Customer_144,Corporate,India,Mumbai,Karnataka,676663,North,PROD-834,Technology,Machines,Scanner,4879.21,8,0.11,195.17
124,ORD-10123,2023-07-28,2023-07-29,Second Class,CUST-6864,Customer_419,Corporate,India,Hyderabad,Maharashtra,643341,West,PROD-396,Furniture,Bookcases,Metal Bookcase,3928.21,9,0.02,510.67
125,ORD-10124,2023-12-29,2024-01-04,Standard Class,CUST-3949,Customer_466,Home Office,India,Hyderabad,Kerala,604233,North,PROD-176,Furniture,Tables,Conference Table,361.35,4,0.02,46.98
126,ORD-10125,2022-04-09,2022-04-11,Standard Class,CUST-6925,Customer_55,Corporate,India,Mumbai,Karnataka,609380,South,PROD-607,Furniture,Bookcases,Wood Bookcase,1860.42,9,0.09,111.63
127,ORD-10126,2023-11-15,2023-11-19,Standard Class,CUST-3593,Customer_428,Home Office,India,Bangalore,Delhi,636416,South,PROD-276,Furniture,Chairs,Office Chair,614.84,7,0.07,49.19
128,ORD-10127,2023-12-27,2024-01-01,First Class,CUST-7576,Customer_411,Home Office,India,Mumbai,Maharashtra,683884,North,PROD-328,Office Supplies,Paper,Notebook Pack,2831.94,8,0.04,311.51
129,ORD-10128,2023-07-01,2023-07-03,Same Day,CUST-7533,Customer_296,Corporate,India,Delhi,Tamil Nadu,612541,South,PROD-447,Office Supplies,Storage,Drawer Organizer,2088.55,7,0.25,-208.86
130,ORD-10129,2023-09-05,2023-09-11,First Class,CUST-7745,Customer_409,Consumer,India,Kochi,Telangana,681372,West,PROD-546,Furniture,Bookcases,Metal Bookcase,1448.76,8,0.22,-101.41
131,ORD-10130,2023-04-07,2023-04-12,Same Day,CUST-8494,Customer_271,Corporate,India,Delhi,Tamil Nadu,660942,North,PROD-468,Furniture,Tables,Conference Table,1431.34,5,0.2,-71.57
132,ORD-10131,2023-10-05,2023-10-08,First Class,CUST-4251,Customer_465,Corporate,India,Kochi,Telangana,640726,South,PROD-165,Furniture,Bookcases,Metal Bookcase,2913.59,5,0.14,29.14
133,ORD-10132,2022-01-05,2022-01-06,Second Class,CUST-1595,Customer_393,Corporate,India,Kochi,Delhi,694091,North,PROD-866,Office Supplies,Storage,Plastic Storage Box,4745.77,9,0.29,-664.41
134,ORD-10133,2022-08-06,2022-08-12,Same Day,CUST-5534,Customer_34,Home Office,India,Bangalore,Delhi,671432,South,PROD-935,Furniture,Tables,Conference Table,305.77,9,0.22,-21.4
